,latitude,longitude
0,36.8047888,31.4511319
1,37.059589,35.3675681
2,36.3178276,30.1440565
3,36.5708714,36.2000448
4,36.9268621,33.220175
5,36.0868033,35.9835493
6,36.095389,35.9727887
7,37.1819471,36.6181225
8,37.1860968,36.6131556
9,36.7620965,31.4473874
10,36.7923105,31.4672282
11,36.7088909,29.9261482
12,37.4630648,37.0198067
13,36.5593864,31.954042
14,36.2318004,36.1635744
15,36.2332805,36.1622076
16,36.055707,36.0140533
17,38.2062626,37.1575072
18,38.2417185,36.9092852
19,36.1421432,36.1307336
20,37.5588822,36.9233576
21,36.6004547,33.6377613
22,36.8158972,34.6209953
23,36.8232142,34.6248744
24,37.1735614,36.6551889
25,36.8658516,30.6409447
26,35.336092,33.203678
27,35.311368,33.381782
28,35.183663,32.976084
29,35.360551,34.067425
30,35.346961,33.986395
31,35.18358,32.976396
32,34.686276,33.040455
33,34.776769,32.43179
34,34.888355,33.624527
35,35.150788,33.353143
36,35.13211,33.955543
37,34.989678,34.006802
38,34.675426,32.875574
39,34.929842,33.544408
40,35.038655,33.850263
41,34.2261747,35.6498857
42,34.2762576,35.6575237
43,33.8868706,35.4937163
44,33.8234236,35.5561314
45,33.8448454,35.5503671
46,32.1283996,34.8434222
47,32.1195933,34.7769831
48,32.0625662,34.7662379
49,32.8017479,34.9541034
50,32.8121174,35.0234523
51,31.2655646,32.2320278
52,30.9279896,29.5180989
53,31.0735791,30.7380658
54,30.7759356,29.4741389
